file_name,text,duration_seconds,source_file
clip_088.wav,"Bozordagi o‘sish avjiga chiqqan 2023-yilda uylar narxi fundamental qiymatidan 23 foizgacha, 2024-yilda esa 18 foizgacha baland bo‘lgan.",9.44,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_028.wav,"Bugungi g'alvali, soxta dunyoda mana shunday asarlarni o‘qib turing.",3.44,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_052.wav,"Meteorologlar bunday sharoitda respublika aholisi, ayniqsa Toshkentda yashovchilarni ko‘chaga kamroq chiqish, chiqqanda ham",7.21,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_011.wav,"Asarning burilish nuqtasi — Ramazonning chayqovchi sifatida qo‘lga olinishi. U bu aybni tushunmaydi ham, sudda aytgan har bir",6.66,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_009.wav,"Shahar esa mutlaqo boshqa olam: insonlar bu yerda qadamini ehtiyot bo‘lib bosadi, yuzlarida hech qachon to‘liq samimiyat ko‘rinmaydi, muvaffaqiyat, manfaat, hisob-kitob.",9.72,“Chantrimore!＂ - shaharda yo'qolgan yuraklar ｜ 5 daqiqa.wav
clip_078.wav,tig‘iz vaqtlarda yuk avtomobillari harakatini cheklash ham ko‘zda tutilgan.,4.36,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_093.wav,"emas, keyinroq qimmatiga sotish niyatida uy sotib oluvchi investorlarning qiziqishi susaygan.",5.58,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_079.wav,Qurilish sohasida esa developerlar oldiga yangi talablar qo‘yilishi mumkin. Qurilish obyektlari,5.24,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_060.wav,"Abduhakimov shuningdek, yangi tashkil etilayotgan ekopoli­siya boshlig‘i lavozimini ham egallaydi.",5.37,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
clip_056.wav,"choralar belgilandi. Avvalo, Ekologiya organining vakolatlari va moliyaviy ta’minoti oshirildi.",5.48,Changga qarshi safarbarlik va IIBBda in qurgan talonchilar ｜ Hafta dayjesti.wav
